UF;Município;IFDM;Emprego & Renda;Educação;Saúde
MG;Serranópolis de Minas;0,575209;0,347644;0,812808;0,565175
BA;Cordeiros;0,575041;0,302108;0,781942;0,641074
PI;Monsenhor Hipólito;0,575002;0,400473;0,729687;0,594847
RS;Charrua;0,574892;0,327812;0,615438;0,781427
TO;São Miguel do Tocantins;0,574866;0,340882;0,624892;0,758822
MG;Alagoa;0,574804;0,362343;0,753323;0,608745
PE;Palmeirina;0,574726;0,443857;0,605157;0,675164
BA;Sátiro Dias;0,574712;0,50767;0,632666;0,583801
BA;Itapebi;0,57463;0,468137;0,615816;0,639938
BA;Cotegipe;0,574565;0,452179;0,578865;0,692651
MA;Lago da Pedra;0,574565;0,446038;0,642337;0,63532
AC;Xapuri;0,574544;0,398122;0,632325;0,693186
SE;Tobias Barreto;0,574486;0,464584;0,657514;0,601358
MA;Chapadinha;0,574381;0,45121;0,64286;0,629074
MG;Bonito de Minas;0,574308;0,305703;0,707897;0,709323
TO;Lizarda;0,574259;0,375118;0,606946;0,740714
AL;Capela;0,574111;0,463252;0,614557;0,644523
